lon,lat,ibge
-7.278157,-39.451254,-1.0
-3.853184,-40.919213,-1.0
-3.84295,-40.899538,-1.0
-7.279762,-39.438411,-1.0
-3.841161,-41.127997,-1.0
-3.853723,-40.92365,-1.0
-7.169253,-39.307265,-1.0
-7.205421,-39.319942,-1.0
-7.584826,-39.281326,-1.0
-7.705171,-39.24428,-1.0
-4.401932,-37.781299,-1.0
-4.43223,-37.79134,-1.0
-4.472826,-37.801157,-1.0
-7.763537,-38.940557,-1.0
-5.905531,-38.62432,-1.0
-5.888738,-38.662547,-1.0
-6.858031,-38.675729,-1.0
-6.841838,-38.737613,-1.0
-6.752291,-38.963235,-1.0
-6.792187,-39.308122,-1.0
-6.834307,-39.406268,-1.0
-6.92795,-39.573663,-1.0
-4.834028,-37.26475,-1.0
-4.712112,-37.355624,-1.0
-4.692494,-37.38312,-1.0
-4.687526,-37.394223,-1.0
-4.703485,-37.483054,-1.0
-4.72247,-37.557296,-1.0
-5.949997,-38.828914,-1.0
-4.579769,-37.84989,-1.0
-4.571887,-37.655809,-1.0
-4.557532,-37.68154,-1.0
-4.557998,-37.705284,-1.0
-4.526699,-37.705726,-1.0
-4.358183,-37.959334,-1.0
-4.318517,-37.930438,-1.0
-4.452603,-37.810946,-1.0
-4.450963,-37.797414,-1.0
-4.450918,-37.79533,-1.0
-4.374728,-37.925338,-1.0
-4.36901,-37.925,-1.0
-4.394944,-37.861557,-1.0
-4.37824,-37.856756,-1.0
-7.17949,-39.329332,-1.0
-4.424439,-37.776451,-1.0
-4.566109,-37.792595,-1.0
-4.570723,-37.801973,-1.0
-4.680859,-37.378927,-1.0
-4.554407,-37.671054,-1.0
-5.190656,-39.277726,-1.0
-5.191847,-39.293383,-1.0
-6.373697,-39.26915,-1.0
-6.567748,-39.31826,-1.0
-5.760343,-38.995638,-1.0
-6.192457,-40.152006,-1.0
-6.326637,-40.163155,-1.0
-6.57353,-40.121481,-1.0
-6.783676,-39.990853,-1.0
-6.776431,-39.987228,-1.0
-6.14974,-40.394948,-1.0
-7.090079,-40.027446,-1.0
-7.09024,-40.028334,-1.0
-7.207923,-40.138603,-1.0
-7.075,-40.372393,-1.0
-7.078338,-40.377964,-1.0
-7.07844,-40.458293,-1.0
-6.252681,-39.201525,-1.0
-3.929475,-38.337078,-1.0
-3.7468,-38.480064,-1.0
-3.746925,-38.479871,-1.0
-3.838809,-38.479857,-1.0
-3.861158,-38.470293,-1.0
-3.891034,-38.43546,-1.0
-3.898453,-38.402868,-1.0
-6.88675,-39.221473,-1.0
-3.790834,-38.588636,-1.0
-3.791256,-38.588814,-1.0
-4.103195,-38.157687,-1.0
-5.69486,-38.495826,-1.0
-5.524245,-38.475095,-1.0
-3.217309,-39.360085,-1.0
-4.182084,-38.080497,-1.0
-4.267762,-38.055502,-1.0
-4.253189,-38.010083,-1.0
-3.655351,-39.427021,-1.0
-3.625916,-39.507533,-1.0
-3.684338,-39.585003,-1.0
-4.844501,-38.042335,-1.0
-5.269836,-38.108415,-1.0
-5.261001,-38.123113,-1.0
-5.300179,-38.173976,-1.0
-5.723956,-38.159753,-1.0
-3.972206,-38.528679,-1.0
-3.36636,-39.83208,-1.0
-3.369233,-39.819403,-1.0
-3.597699,-39.437124,-1.0
-3.599151,-39.437125,-1.0
-3.791358,-39.271298,-1.0
-4.225966,-38.704659,-1.0
-4.28693,-38.640427,-1.0
-4.29934,-38.501779,-1.0
-4.380153,-38.828595,-1.0
-4.916138,-37.997975,-1.0
-4.928586,-37.974983,-1.0
-5.061498,-38.064368,-1.0
-5.243251,-38.133516,-1.0
-5.245727,-38.131049,-1.0
-4.748198,-37.962689,-1.0
-4.771431,-38.051014,-1.0
-5.052488,-37.677768,-1.0
-5.269258,-38.271713,-1.0
-3.364277,-39.826921,-1.0
-3.538495,-40.457903,-1.0
-5.074472,-37.99154,-1.0
-5.127103,-39.737482,-1.0
-5.127046,-39.737446,-1.0
-5.122177,-39.733488,-1.0
-4.855114,-39.573515,-1.0
-4.851293,-39.571316,-1.0
-4.761853,-39.485,-1.0
-4.581865,-39.358894,-1.0
