ncm, scnp
27101994,19916
27101999,19916
27102000,19916
27109100,20922
27109900,20922
27111100,06801
27111210,19916
27111290,19916
27111300,19916
27111400,19916
27111910,19916
27111990,19916
27112100,06801
27112910,19916
27112990,19916
27121000,19916
27122000,19916
27129000,19916
27131100,19916
27131200,19916
27132000,19916
27139000,19916
27141000,06801
27149000,05802
27150000,23003
27160000,35001
28011000,20911
28012010,20911
28012090,20911
28013000,20911
28020000,20911
28030011,20913
28030019,20913
28030090,20913
28041000,20911
28042100,20911
28042910,20911
28042990,20911
28043000,20911
28044000,20911
28045000,20911
28046100,20922
28046900,20922
28047010,20911
28047020,20911
28047030,20911
28048000,20911
28049000,20911
28051100,20911
28051200,20911
28051910,20911
28051920,20911
28051990,20911
28053010,20911
28053090,20911
28054000,20911
28061010,20911
28061020,20911
28062000,20911
28070010,20911
28070020,20911
28080010,20911
28080020,20911
28091000,20911
28092011,20911
28092019,20911
28092020,20911
28092030,20911
28092090,20911
28100010,20911
28100090,20911
28111100,20911
28111910,20911
28111920,20911
28111930,20911
28111940,20911
28111950,20911
28111990,20911
28112100,20911
28112210,20911
28112220,20911
28112230,20911
28112290,20911
28112910,20911
28112990,20911
28121011,20911
28121012,20911
28121013,20911
28121014,20911
28121015,20911
28121019,20911
28121021,20911
28121022,20911
28121023,20911
28121029,20911
28129000,20911
28131000,20911
28139010,20911
28139090,20911
28141000,20911
28142000,20911
28151100,20911
28151200,20911
28152000,20911
28153000,20911
28161010,20911
28161020,20911
28164010,20911
28164090,20911
28170010,20911
28170020,20911
28181010,23003
28181090,23003
28182010,24921
28182090,24921
28183000,20911
28191000,20911
28199010,20911
28199020,20911
28201000,20911
28209010,20911
28209020,20911
28209030,20911
28209040,20911
28211011,20911
28211019,20911
28211020,20911
28211030,20911
28211090,20911
28212000,20911
28220010,20911
28220090,20911
28230010,20911
28230090,20911
28241000,20911
28249010,20911
28249090,20911
28251010,20911
28251020,20911
28252010,20911
28252020,20911
28253010,20922
28253090,20911
28254010,20911
28254090,20911
28255010,20911
28255090,20911
28256010,20911
28256020,20911
28257010,20911
28257090,20911
28258010,20911
28258090,20911
28259010,20911
28259020,20911
28259090,20911
28261200,20911
28261910,20911
28261920,20911
28261990,20911
28263000,20911
28269010,20911
28269020,20911
28269090,20911
28271000,20911
28272010,20911
28272090,20911
28273110,20911
28273190,20911
28273200,20911
28273500,20911
28273910,20911
28273920,20911
28273940,20911
28273950,20911
28273960,20911
28273970,20911
28273991,20911
28273992,20911
28273993,20911
28273994,20911
28273995,20911
28273996,20911
28273997,20911
28273998,20911
28273999,20911
28274110,20921
28274120,20921
28274911,20911
28274912,20911
28274919,20911
28274921,20911
28274929,20911
28275100,20911
28275900,20911
28276011,20911
28276012,20911
28276019,20911
28276021,20911
28276029,20911
28281000,20911
28289011,20911
28289019,20911
28289020,20911
28289090,20911
28291100,20911
28291910,20911
28291920,20911
28291990,20911
28299011,20911
28299012,20911
28299019,20911
28299021,20911
28299022,20911
28299029,20911
28299031,20911
28299032,20911
28299039,20911
28299040,20911
28299050,20911
28301010,20911
28301020,20911
28309011,20911
28309012,20911
28309013,20911
28309014,20911
28309015,20911
28309016,20911
28309019,20911
28309020,20911
28311011,20911
28311019,20911
28311021,20911
28311029,20911
28319010,20911
28319090,20911
28321010,20911
28321090,20911
28322000,20911
28323010,20911
28323020,20911
28323090,20911
28331110,20911
28331190,20911
28331900,20911
28332100,20911
28332200,20911
28332400,20911
28332510,20911
28332520,20911
28332710,20911
28332790,20911
28332910,20911
28332920,20911
28332930,20911
28332940,20911
28332950,20911
28332960,20911
28332970,20911
28332990,20911
28333000,20911
28334010,20911
28334020,20911
28334090,20911
28341010,20922
28341090,20911
28342110,20911
28342190,20911
28342910,20911
28342930,20911
28342940,20911
28342990,20911
28351011,20911
28351019,20911
28351021,20911
