lon,lat,ibge,v
-3.624727,-38.748107,-1,69258
-3.606036,-38.780618,-1,69303
-3.648413,-38.76139,-1,69364
-4.22436,-38.727847,-1,69377
-4.22444,-38.727792,-1,69393
-6.875509,-39.873341,-1,474291
-6.871748,-39.877338,-1,69776
-3.551162,-40.653111,-1,70575
-3.925855,-38.50794,-1,70868
-3.891165,-38.435806,-1,71005
-4.038995,-39.451949,-1,71155
-4.039448,-39.451661,-1,71169
-4.03963,-39.451935,-1,71177
-4.039363,-39.452262,-1,71187
-7.309913,-39.307123,-1,71199
-3.570639,-39.970271,-1,71724
-3.566539,-39.970473,-1,71742
-5.159902,-38.108947,-1,71743
-5.160344,-38.108798,-1,71758
-5.160393,-38.108976,-1,71763
-5.084746,-37.996561,-1,71781
-7.309231,-39.306955,-1,71840
-7.30924,-39.307357,-1,71876
-5.221629,-37.885449,-1,72331
-6.76928,-39.089684,-1,67816
-7.0411,-39.28217,-1,251745
-3.776231,-38.549655,-1,77623
-3.808297,-38.490255,-1,77740
-3.905645,-38.345462,-1,77885
-3.898377,-38.369511,-1,78026
-3.902557,-38.386086,-1,78133
-3.906256,-38.387626,-1,78165
-3.943164,-38.295544,-1,78218
-3.861378,-38.389636,-1,78547
-3.854618,-38.383802,-1,78606
-3.812248,-38.410283,-1,78698
-4.182717,-38.131808,-1,78700
-4.178879,-38.129326,-1,78754
-4.153032,-38.112199,-1,79021
-4.254309,-38.049909,-1,79023
-4.223446,-38.042869,-1,79308
-3.898065,-38.402614,-1,36851
-3.90195,-38.393113,-1,79365
-3.683309,-38.657322,-1,41577
-4.182314,-38.138875,-1,79665
-6.524632,-40.788611,-1,79668
-6.098825,-40.414417,-1,82395
-6.007428,-40.286611,-1,83129
-5.439623,-40.003628,-1,86283
-6.087687,-39.455185,-1,86484
-6.095301,-39.451433,-1,86581
-6.309576,-39.333879,-1,88804
-6.326696,-39.321732,-1,88960
-6.348679,-39.306562,-1,89182
-6.373529,-39.306389,-1,25540
-6.373523,-39.306247,-1,25539
-6.363356,-39.306476,-1,89483
-4.054822,-38.184339,-1,86482
-4.042929,-38.204081,-1,89653
-4.129567,-38.236904,-1,90617
-6.540993,-39.906092,-1,93107
-6.580746,-39.861631,-1,93689
-6.567833,-39.814554,-1,94079
-5.772012,-40.679856,-1,99998
-5.209717,-40.695486,-1,96775
-5.533538,-40.773238,-1,98397
-4.904275,-40.76462,-1,102345
-4.753218,-40.832487,-1,310243
-5.525964,-39.595908,-1,103775
-5.455584,-39.715432,-1,104905
-5.45535,-39.717981,-1,92659
-5.396128,-40.312288,-1,108212
-5.052404,-40.923791,-1,111803
-6.289854,-40.583645,-1,111806
-6.373365,-39.303877,-1,112688
-6.52315,-39.527479,-1,112792
-6.469371,-39.441771,-1,124225
-6.523278,-39.527447,-1,112793
-5.741737,-39.624889,-1,115510
-5.745011,-39.629495,-1,115561
-5.913627,-39.266788,-1,121152
-6.770881,-39.983422,-1,122812
-6.53449,-39.500669,-1,124996
-4.026035,-38.306495,-1,127486
-5.241612,-40.940671,-1,129699
-5.798091,-39.14992,-1,130263
-6.311848,-39.436419,-1,131518
-5.212441,-40.703765,-1,131983
-4.22991,-39.198523,-1,132898
-4.16216,-39.149426,-1,133395
-4.096154,-39.056601,-1,134101
-2.973468,-39.889753,-1,137078
-3.179749,-39.746265,-1,408174
-2.972403,-39.890732,-1,137079
-2.955499,-39.906647,-1,137202
-2.911365,-40.174299,-1,138906
-2.892749,-40.218541,-1,139168
-2.894293,-40.272898,-1,139418
-2.919787,-40.386688,-1,140001
-2.906935,-40.441435,-1,140268
-2.9903,-40.574067,-1,140901
-3.132258,-40.816278,-1,142044
-3.132848,-40.816973,-1,142045
-3.132213,-40.81736,-1,142049
-3.12952,-40.834441,-1,142173
-3.129441,-40.83459,-1,142174
-3.120535,-40.835098,-1,142230
-2.929835,-40.856271,-1,143094
-2.928924,-40.855734,-1,143101
-2.928241,-40.855462,-1,143107
-2.9281,-40.855831,-1,143113
-2.928845,-40.856573,-1,143121
-3.019469,-41.137236,-1,144469
-3.019455,-41.138004,-1,144475
-3.039529,-41.240858,-1,144994
-3.078507,-41.25456,-1,145262
-4.060332,-38.504167,-1,38645
-4.096929,-38.495418,-1,148728
-3.878459,-40.020718,-1,150175
-3.878633,-40.02058,-1,150177
-2.952536,-39.799544,-1,151025
-2.973023,-39.890493,-1,152101
-3.270966,-39.914204,-1,171875
-3.124442,-40.084212,-1,154379
-3.223707,-40.088191,-1,154817
-3.226713,-40.122594,-1,154818
-3.46138,-40.208899,-1,156185
-3.614565,-40.263266,-1,156975
-2.824072,-40.224038,-1,157433
-2.921994,-40.175412,-1,157888
-3.053733,-40.170044,-1,158606
-3.122295,-40.150585,-1,159052
-3.125376,-40.151248,-1,159077
-3.235089,-40.158335,-1,159846
-3.508394,-40.278465,-1,162092
-3.580057,-40.294422,-1,162584
-3.68221,-40.349076,-1,163274
-3.798378,-40.262611,-1,165424
-3.71264,-40.342254,-1,166276
-3.712183,-40.342795,-1,166282
-3.711879,-40.343265,-1,166287
-3.711755,-40.343938,-1,166294
-3.695631,-40.380877,-1,166575
-3.875123,-38.626153,-1,166813
-4.353538,-39.323499,-1,167322
-3.364602,-39.841002,-1,172390
-3.132998,-40.816675,-1,172393
-3.133162,-40.816213,-1,172397
-3.22408,-40.696312,-1,173085
-3.225196,-40.694606,-1,173104
-3.913534,-40.382637,-1,33467
-3.949259,-40.47469,-1,174483
-7.224096,-39.423971,-1,176561
-7.217324,-39.422488,-1,176621
-7.218548,-39.431584,-1,176700
-7.093192,-39.678974,-1,25765
-7.396017,-38.961657,-1,178786
-7.31655,-38.995688,-1,179325
-7.296389,-39.034747,-1,179676
-7.252707,-39.145954,-1,180608
-7.252612,-39.146326,-1,180611
-3.130382,-40.835263,-1,182153
-3.214822,-40.864647,-1,182486
-3.215864,-40.865546,-1,182487
-3.532275,-41.095807,-1,185078
-4.052969,-40.958958,-1,185876
-4.109209,-40.871596,-1,186785
-3.37848,-40.712867,-1,187243
-3.216608,-40.864962,-1,187799
-3.366602,-40.735619,-1,188906
-3.468272,-40.6741,-1,189555
-3.472341,-40.670753,-1,189591
-7.003789,-39.740048,-1,190968
-7.315383,-38.938274,-1,191959
-7.314431,-38.944198,-1,192013
-7.357581,-39.046761,-1,193021
-3.501936,-40.615382,-1,193764
-7.23545,-39.410031,-1,194169
-7.239406,-39.418094,-1,194953
-7.278157,-39.451254,-1,194740
-3.853184,-40.919213,-1,194822
-3.84295,-40.899538,-1,194951
-7.279762,-39.438411,-1,195309
-3.841161,-41.127997,-1,360062
-3.853723,-40.92365,-1,356381
-7.169253,-39.307265,-1,195683
-7.205421,-39.319942,-1,196037
-7.584826,-39.281326,-1,198596
-7.705171,-39.24428,-1,572525
-4.401932,-37.781299,-1,198809
-4.43223,-37.79134,-1,199071
-4.472826,-37.801157,-1,199446
-7.763537,-38.940557,-1,200458
-5.905531,-38.62432,-1,200460
-5.888738,-38.662547,-1,200819
-6.858031,-38.675729,-1,200832
-6.841838,-38.737613,-1,201199
-6.752291,-38.963235,-1,201833
-6.792187,-39.308122,-1,203003
-6.834307,-39.406268,-1,203889
-6.92795,-39.573663,-1,27409
-4.834028,-37.26475,-1,204354
-4.712112,-37.355624,-1,205686
-4.692494,-37.38312,-1,205984
-4.687526,-37.394223,-1,206081
-4.703485,-37.483054,-1,206808
-4.72247,-37.557296,-1,207398
-5.949997,-38.828914,-1,208901
-4.579769,-37.84989,-1,211610
-4.571887,-37.655809,-1,212055
-4.557532,-37.68154,-1,212318
-4.557998,-37.705284,-1,212513
-4.526699,-37.705726,-1,215464
-4.358183,-37.959334,-1,215466
-4.318517,-37.930438,-1,215891
-4.452603,-37.810946,-1,215893
-4.450963,-37.797414,-1,216002
-4.450918,-37.79533,-1,216022
-4.374728,-37.925338,-1,216024
-4.36901,-37.925,-1,216075
-4.394944,-37.861557,-1,216077
-4.37824,-37.856756,-1,216233
-7.17949,-39.329332,-1,216474
-4.424439,-37.776451,-1,216638
-4.566109,-37.792595,-1,216640
-4.570723,-37.801973,-1,216724
-4.680859,-37.378927,-1,216828
-4.554407,-37.671054,-1,216923
-5.190656,-39.277726,-1,216925
-5.191847,-39.293383,-1,217043
-6.373697,-39.26915,-1,217405
-6.567748,-39.31826,-1,219211
-5.760343,-38.995638,-1,220594
-6.192457,-40.152006,-1,221703
-6.326637,-40.163155,-1,222344
-6.57353,-40.121481,-1,223580
-6.783676,-39.990853,-1,225117
-6.776431,-39.987228,-1,225182
-6.14974,-40.394948,-1,225563
-7.090079,-40.027446,-1,229524
-7.09024,-40.028334,-1,229531
-7.207923,-40.138603,-1,230414
